FIPS,State,Area,1980-0,1980-1,1980-2,1980-3,1990-0,1990-1,1990-2,1990-3,2000-0,2000-1,2000-2,2000-3,2013-0,2013-1,2013-2,2013-3
0,US,United States,33.5,34.6,15.7,16.2,24.8,30.0,24.9,20.3,19.6,28.6,27.4,24.4,12.7,27.3,29.1,30.9
1000,AL,Alabama,43.5,31.8,12.5,12.2,33.1,29.4,21.7,15.7,24.7,30.4,25.9,19.0,14.7,30.9,29.9,24.5
1001,AL,Autauga County,40.6,35.2,12.1,12.1,30.0,32.0,23.5,14.5,21.3,33.8,26.9,18.0,12.3,33.6,29.1,25.0
1003,AL,Baldwin County,39.7,33.7,14.5,12.1,26.8,31.8,24.6,16.8,18.0,29.6,29.3,23.1,9.8,27.8,31.7,30.7
1005,AL,Barbour County,55.1,26.1,9.7,9.2,44.4,27.1,16.7,11.8,35.3,32.4,21.3,10.9,26.9,35.5,25.5,12.0
1007,AL,Bibb County,59.5,29.6,6.1,4.9,48.2,33.8,13.2,4.7,36.8,35.7,20.4,7.1,17.9,43.9,25.0,13.2
1009,AL,Blount County,53.9,32.4,8.4,5.3,39.5,34.7,18.8,7.0,29.6,36.0,24.8,9.6,20.2,32.3,34.4,13.1
1011,AL,Bullock County,59.0,22.5,9.8,8.8,51.0,24.8,14.2,10.0,39.5,35.2,17.5,7.7,28.6,36.6,21.4,13.4
1013,AL,Butler County,55.0,28.8,8.1,8.2,47.2,29.1,15.6,8.0,32.2,34.5,22.9,10.4,18.9,40.4,24.5,16.1
1015,AL,Calhoun County,43.3,32.8,12.9,11.0,32.6,30.0,23.2,14.2,26.1,32.2,26.4,15.2,16.8,32.2,33.1,17.9
1017,AL,Chambers County,54.6,28.3,9.7,7.4,45.7,28.5,16.9,8.9,35.8,32.1,22.5,9.5,19.1,38.4,29.1,13.3
1019,AL,Cherokee County,56.8,28.1,8.8,6.3,46.5,31.6,15.2,6.7,36.5,34.9,18.9,9.7,20.5,38.2,28.9,12.5
1021,AL,Chilton County,54.0,31.1,8.5,6.5,43.4,32.6,16.5,7.5,33.8,35.8,20.5,9.9,18.2,43.4,23.3,15.1
1023,AL,Choctaw County,55.3,29.3,8.4,7.0,45.7,31.3,14.5,8.5,35.0,34.7,20.6,9.6,19.9,39.9,28.6,11.6
1025,AL,Clarke County,50.6,30.5,10.0,8.9,39.7,33.4,16.1,10.8,29.2,37.7,21.1,12.1,18.5,44.3,24.2,13.0
1027,AL,Clay County,53.4,32.1,8.6,5.9,46.2,31.1,15.5,7.3,34.0,37.8,20.4,7.8,26.7,33.7,29.3,10.3
1029,AL,Cleburne County,61.7,27.4,5.2,5.8,50.2,29.6,13.7,6.5,37.1,35.8,17.8,9.2,24.2,37.4,26.0,12.4
