word,level,slope,pval,count
bc,0,-0.11703483623029358,0.4493027682452732,44
ahsapocalypse,0,-0.19601981219150644,0.4508430679400261,17
marie_brownsuga,0,-0.22710784363958805,0.5567668952895622,9
ass,0,-0.10493421751335803,0.3277489204007521,89
shit,0,-0.10054210764675796,0.2372206550321816,140
support,0,-0.12787713810688306,0.21934333961485009,94
love,0,0.10994986275614203,0.11128175913639823,211
there,0,-0.1830851080734855,0.13807956898056947,67
kamalaharris,0,-0.19383405701689915,0.2503410136737915,37
new,0,0.056335256950310726,0.4437857771441083,187
goal,0,-0.2104101207805624,0.17563687680956178,43
1.5,0,-0.4719863526744642,0.3445929345115089,6
americans,0,-0.058368275845115426,0.6935337833737636,48
kavanaugh’s,0,-0.3232729080528288,0.03231757943228402,44
aku,0,-0.5602437613731182,0.09210128599098406,10
sweater,0,-0.6757750600422623,0.011233405026944992,13
jd,0,-0.167315792734201,0.8326842072657991,4
ya,0,0.13842672272699194,0.2268003081995333,78
,0,-0.005897772305973647,0.6261260667720752,6826
bts_twt,0,0.06783417242004848,0.4597353447446956,121
jimin,0,0.09194441419918507,0.44570005012121416,71
chat,0,-0.4317645092127791,0.057305641900595235,20
ga,0,-0.17234851773924725,0.6123356947937586,11
jam,0,-0.7132393412953429,0.07195387229739038,7
tapi,0,-0.8801883313109939,0.048878676674562964,5
forgot,0,-0.15089602692947918,0.4919146419795789,23
kavanaugh,0,0.1414315130974848,0.011059531284044057,322
even,0,-0.03553849151844751,0.7176008130103501,106
super,0,-0.21473894618660935,0.21542411783000034,35
lagi,0,0.03816446925898676,0.9427810898960172,6
gaming,0,0.045106381568278134,0.9015302983621186,10
streams,0,-0.6193126005674886,0.2652664366649757,5
streaming,0,-0.07710172428472076,0.746628116111923,20
tsunami,0,-0.3898841944053171,0.2653766807833485,10
ada,0,-0.2909968150022139,0.4844001956655914,8
bisa,0,-0.6242277985621808,0.3757722014378191,4
b,0,-0.11608436211923875,0.2842922568053427,87
lullaby6thwin,0,-0.4940689840769234,0.2597485614041181,7
society,0,0.009035817576794771,0.9681661093221724,22
nut,0,-0.3598918355136063,0.2769734636379899,11
shell,0,-0.10384949262309807,0.8066776560524507,8
lo,0,0.19745996703459265,0.3335944911918304,26
su,0,-0.1338729272096789,0.5328594984146305,24
renate,0,0.4823955783488638,0.04261131444122571,18
alumnius,0,0.5731814734964952,0.06528036692971365,11
confirmed,0,0.15390164802238734,0.1546692130431957,87
devil's,0,0.5808002537913709,0.037393933247784686,13
perju,0,0.5731814734964952,0.06528036692971365,11
fall,0,0.07154981910397405,0.5837164592044444,61
nerve,0,-0.5970814438968304,0.2877338534488923,5
go,0,0.027123868088817667,0.7110204321192379,189
yu,0,-0.7054870397721342,0.07656234525454983,7
name,0,0.1982621798054605,0.11931582275564576,63
